Chafron_OTU	GreenGenes_13_5
otu_b12401	354181
otu_b124137	1105388
otu_b124186	171217
otu_b124222	162823
otu_b12434	2851419
otu_b124427	171480
otu_b124430	171480
otu_b12449	1123592
otu_b124507	104334
otu_b12451	364179
otu_b12454	4387019
otu_b124550	73591
otu_b12456	4447845
otu_b12459	217121
otu_b1246	160432
otu_b124621	81152
otu_b124638	179845
otu_b124646	26694
otu_b1247	4323284
otu_b124707	512611
otu_b12471	4408129
otu_b12474	308298
otu_b124767	103132
otu_b124800	537711
otu_b124817	162210
otu_b12491	558970
otu_b12494	575192
otu_b124950	50190
otu_b12499	358265
otu_b12502	4468466
otu_b12506	728854
otu_b12510	334323
otu_b12514	265316
otu_b125156	745917
otu_b12516	216403
otu_b125192	198641
otu_b12520	345791
otu_b12525	268935
otu_b12526	4342964
otu_b125274	81397
otu_b12528	276834
otu_b1253	4308759
otu_b12540	345757
otu_b12541	69292
otu_b125414	115186
otu_b125543	81397
otu_b125546	341674
otu_b125677	4380971
otu_b125691	171480
otu_b1257	271272
otu_b125831	813287
otu_b12585	88634
otu_b125875	169901
otu_b1259	366851
otu_b125902	158208
otu_b125958	2052853
otu_b12597	4336939
otu_b12598	534316
otu_b126005	4447950
otu_b12601	178762
otu_b126060	171480
otu_b126064	151176
otu_b12607	228555
otu_b12610	95362
otu_b12616	811452
otu_b1263	4449198
otu_b12634	592505
otu_b12635	355307
otu_b12653	3253746
otu_b12659	936371
otu_b126602	169006
otu_b1267	342928
otu_b12675	4379814
otu_b1268	930592
otu_b126825	227403
otu_b12690	211354
otu_b126918	168595
otu_b12692	363794
otu_b126943	189882
otu_b12696	322571
otu_b12697	584951
otu_b126976	752872
otu_b127	945455
otu_b127036	560178
otu_b127090	165888
otu_b12711	259912
otu_b12712	211354
otu_b127156	589597
otu_b12720	268151
otu_b12723	302194
otu_b127328	1817223
otu_b12737	345466
otu_b12744	193460
otu_b12745	92835
otu_b12746	4471706
otu_b12747	182854
otu_b127499	3147425
otu_b12751	342612
otu_b12760	1105814
otu_b12764	85407
otu_b127669	1111881
otu_b12769	249375
otu_b1277	805452
otu_b127701	159560
otu_b12774	592170
otu_b12784	3804335
otu_b12785	204088
otu_b127855	111207
otu_b12787	345396
otu_b12788	144713
otu_b127969	167253
otu_b127981	1024529
otu_b128	4308023
otu_b12801	242437
otu_b12803	357312
otu_b12811	261265
otu_b12822	1147522
otu_b12826	810889
otu_b12829	160888
otu_b12840	1138430
otu_b12843	88266
otu_b12850	204088
otu_b12851	162504
otu_b128625	164471
otu_b12864	382140
otu_b12865	4342682
otu_b128662	9025
otu_b128711	224036
otu_b12877	4446120
otu_b1288	637589
otu_b12882	628400
otu_b12883	268151
otu_b128944	171480
otu_b129017	150935
otu_b129082	1120835
otu_b129134	988932
otu_b12921	899488
otu_b12928	326014
otu_b1293	38200
otu_b129440	102017
otu_b129471	218852
otu_b129548	4396128
otu_b12955	308760
otu_b12957	168194
otu_b129723	148638
otu_b129804	367092
otu_b12983	416078
otu_b129911	103132
otu_b12996	329746
otu_b130015	109124
otu_b13010	681370
otu_b13013	348362
otu_b130150	520139
otu_b13027	123001
otu_b1303	977756
otu_b13030	4481359
otu_b13031	530928
otu_b1304	4483006
otu_b13043	4339358
otu_b130436	221038
otu_b130462	106340
otu_b13047	238660
otu_b13051	288494
otu_b13052	174873
otu_b13060	591699
otu_b13063	532709
otu_b13069	2636131
otu_b13081	307874
otu_b13092	227663
otu_b130988	142257
otu_b1310	3307468
otu_b13101	105448
otu_b13107	344947
otu_b13109	75998
otu_b13112	640999
otu_b13113	344940
otu_b13116	344937
otu_b13117	314126
otu_b13119	4041571
otu_b13124	344923
otu_b131267	4440624
otu_b13129	331181
otu_b131293	188369
otu_b13136	232257
otu_b1314	156221
otu_b13151	645011
otu_b13155	344879
otu_b13158	431910
otu_b131603	1126475
otu_b131650	98909
otu_b13168	344858
otu_b131711	106732
otu_b131749	162379
otu_b131778	1108270
otu_b132010	428953
otu_b13217	229462
otu_b13218	344791
otu_b13220	344789
otu_b132208	4392530
otu_b13225	2170756
otu_b132268	161687
otu_b13227	4323566
otu_b132273	142939
otu_b13228	171527
otu_b132287	110607
otu_b132307	576810
otu_b132308	91646
otu_b132361	3329353
